34DF	㓟
93AC	鎬
93AE	鎮
93B0	鎰
93B3	鎳
93C3	鏃
93C8	鏈
93CD	鏍
93D1	鏑
93D6	鏖
93D7	鏗
93D8	鏘
93DC	鏜
93DD	鏝
93DE	鏞
93DF	鏟
93E1	鏡
93E2	鏢
93E4	鏤
93F5	鏵
93F9	鏹
93FD	鏽
9410	鐐
9418	鐘
9419	鐙
9427	鐧
942B	鐫
942E	鐮
9432	鐲
9433	鐳
9435	鐵
9438	鐸
943A	鐺
9444	鑄
944A	鑊
944C	鑌
9451	鑑
9452	鑒
9460	鑠
9463	鑣
946A	鑪
946B	鑫
946D	鑭
9470	鑰
9472	鑲
9477	鑷
947C	鑼
947D	鑽
947E	鑾
947F	鑿
9577	長
9580	門
9582	閂
9583	閃
9589	閉
958B	開
958E	閎
958F	閏
9591	閑
9592	閒
9593	間
9594	閔
9598	閘
959C	閜
959E	閞
95A1	閡
95A3	閣
95A4	閤
95A5	閥
95A8	閨
95A9	閩
95AA	閪
95AD	閭
95B1	閱
95B6	閶
95B9	閹
95BB	閻
95BD	閽
95BE	閾
95C6	闆
95C7	闇
95C8	闈
95CA	闊
95CB	闋
95CC	闌
95CD	闍
95D0	闐
95D4	闔
95D5	闕
95D6	闖
95DC	關
95E1	闡
95E2	闢
961C	阜
9621	阡
962A	阪
962E	阮
9631	阱
9632	防
963B	阻
963F	阿
9640	陀
9642	陂
9644	附
964B	陋
964C	陌
964D	降
9650	限
965B	陛
965C	陜
965D	陝
965E	陞
965F	陟
9661	陡
9662	院
9663	陣
9664	除
966A	陪
9670	陰
9672	陲
9673	陳
9675	陵
9676	陶
9677	陷
9678	陸
967D	陽
9684	隄
9685	隅
9686	隆
9688	隈
968A	隊
968B	隋
968D	隍
968E	階
9694	隔
9695	隕
9698	隘
9699	隙
969B	際
969C	障
96A1	隡
96A7	隧
96A8	隨
96AA	險
96B1	隱
96B4	隴
96B8	隸
96BB	隻
96BC	隼
96C0	雀
96C1	雁
96C4	雄
96C5	雅
96C6	集
96C7	雇
96C9	雉
96CB	雋
96CC	雌
96CD	雍
96CE	雎
96D5	雕
96D6	雖
96D9	雙
96DB	雛
96DC	雜
96DE	雞
96E2	離
96E3	難
96E8	雨
96E9	雩
96EA	雪
96EF	雯
96F0	雰
96F1	雱
96F2	雲
96F6	零
96F7	雷
96F9	雹
96FB	電
9700	需
9704	霄
9706	霆
9707	震
9708	霈
9709	霉
970D	霍
970E	霎
970F	霏
9711	霑
9713	霓
9716	霖
971C	霜
971D	霝
971E	霞
9727	霧
9730	霰
9732	露
9738	霸
9739	霹
973D	霽
973E	霾
9742	靂
9744	靄
9748	靈
9751	靑
9752	青
9756	靖
975A	靚
975B	靛
975C	靜
975E	非
9760	靠
9761	靡
9762	面
9766	靦
9768	靨
9769	革
9773	靳
9774	靴
9776	靶
977C	靼
9784	鞄
9785	鞅
978B	鞋
978D	鞍
978F	鞏
9798	鞘
979E	鞞
97A0	鞠
97A3	鞣
97A6	鞦
97AB	鞫
97AD	鞭
97B3	鞳
97C1	韁
97C3	韃
97C6	韆
97CB	韋
97CC	韌
97D3	韓
97D9	韙
97DC	韜
97DE	韞
97E1	韡
97E5	韥
97ED	韭
97F3	音
97F6	韶
97FB	韻
97FE	韾
97FF	響
9801	頁
9802	頂
9803	頃
9805	項
9806	順
9807	頇
9808	須
980A	頊
980C	頌
980E	頎
9810	預
9811	頑
9812	頒
9813	頓
9817	頗
9818	領
981C	頜
9821	頡
9824	頤
982B	頫
982D	頭
9830	頰
9834	頴
9837	頷
9838	頸
9839	頹
983B	頻
9846	顆
984C	題
984D	額
984E	顎
984F	顏
9853	顓
9857	顗
9858	願
9859	顙
985A	顚
985B	顛
985E	類
9862	顢
9865	顥
9867	顧
986B	顫
986F	顯
9870	顰
9871	顱
9873	顳
9874	顴
98A8	風
98AF	颯
98B1	颱
98B3	颳
98B6	颶
98BA	颺
98BC	颼
98C4	飄
98C6	飆
98DB	飛
98DF	食
98E2	飢
98E5	飥
98E7	飧
98E9	飩
98EA	飪
98ED	飭
98EF	飯
98F2	飲
98F4	飴
98F9	飹
98FC	飼
98FD	飽
98FE	飾
9903	餃
9905	餅
9909	餉
990A	養
990C	餌
9910	餐
9911	餑
9912	餒
9913	餓
9914	餔
9918	餘
991A	餚
991B	餛
991E	餞
9921	餡
9928	館
992B	餫
992C	餬
992E	餮
9935	餵
9938	餸
993A	餺
993D	餽
993E	餾
993F	餿
9941	饁
9943	饃
9945	饅
9948	饈
9949	饉
994B	饋
994C	饌
9950	饐
9951	饑
9952	饒
9955	饕
9957	饗
995C	饜
995E	饞
9961	饡
9996	首
9997	馗
9998	馘
9999	香
999C	馜
999E	馞
99A5	馥
99A8	馨
99AC	馬
99AD	馭
99AE	馮
99B1	馱
99B3	馳
99B4	馴
99B5	馵
99C1	駁
99C4	駄
99C9	駉
99D0	駐
99D1	駑
99D2	駒
99D4	駔
99D5	駕
99D9	駙
99DB	駛
99DD	駝
99DF	駟
99E2	駢
99E9	駩
99ED	駭
99F1	駱
99FF	駿
9A01	騁
9A0B	騋
9A0E	騎
9A0F	騏
9A16	騖
9A19	騙
9A2A	騪
9A2B	騫
9A2D	騭
9A2E	騮
9A30	騰
9A35	騵
9A37	騷
9A3E	騾
9A40	驀
9A41	驁
9A43	驃
9A45	驅
9A4A	驊
9A4D	驍
9A52	驒
9A55	驕
9A57	驗
9A5A	驚
9A5B	驛
9A5F	驟
9A60	驠
9A62	驢
9A64	驤
9A65	驥
9A6A	驪
9AA8	骨
9AAF	骯
9AB0	骰
9AB7	骷
9AB8	骸
9AB9	骹
9ABC	骼
9AC0	髀
9AC1	髁
9AC2	髂
9ACF	髏
9AD2	髒
9AD3	髓
9AD4	體
9AD5	髕
9AD6	髖
9AD8	高
9AE3	髣
9AE6	髦
9AED	髭
9AEE	髮
9AEF	髯
9AFB	髻
9B03	鬃
9B06	鬆
9B08	鬈
9B0D	鬍
9B18	鬘
9B1A	鬚
9B1F	鬟
9B22	鬢
9B23	鬣
9B25	鬥
9B27	鬧
9B28	鬨
9B29	鬩
9B31	鬱
9B3B	鬻
9B3C	鬼
9B41	魁
9B42	魂
9B44	魄
9B45	魅
9B4D	魍
9B4E	魎
9B4F	魏
9B51	魑
9B54	魔
9B58	魘
9B5A	魚
9B5F	魟
9B60	魠
9B66	魦
9B6F	魯
9B70	魰
9B74	魴
9B77	魷
9B7D	魽
9B8B	鮋
9B91	鮑
9BA8	鮨
9BAA	鮪
9BAB	鮫
9BAD	鮭
9BAE	鮮
9BC1	鯁
9BC8	鯈
9BC9	鯉
9BCA	鯊
9BD3	鯓
9BD5	鯕
9BD6	鯖
9BDB	鯛
9BE1	鯡
9BE4	鯤
9BE5	鯥
9BE7	鯧
9BE8	鯨
9BEA	鯪
9BED	鯭
9BF0	鯰
9BF7	鯷
9BFD	鯽
9C02	鰂
9C06	鰆
9C08	鰈
9C0D	鰍
9C13	鰓
9C23	鰣
9C24	鰤
9C25	鰥
9C29	鰩
9C2D	鰭
9C31	鰱
9C32	鰲
9C36	鰶
9C37	鰷
9C39	鰹
9C3B	鰻
9C3E	鰾
9C46	鱆
9C49	鱉
9C52	鱒
9C54	鱔
9C57	鱗
9C58	鱘
9C5F	鱟
9C67	鱧
9C72	鱲
9C77	鱷
9C78	鱸
9C7A	鱺
9C7B	鱻
9CE5	鳥
9CE9	鳩
9CF3	鳳
9CF4	鳴
9CF6	鳶
9D06	鴆
9D07	鴇
9D09	鴉
9D12	鴒
9D15	鴕
9D1B	鴛
9D1E	鴞
9D23	鴣
9D26	鴦
9D28	鴨
9D2F	鴯
9D3B	鴻
9D3F	鴿
9D51	鵑
9D5C	鵜
9D5D	鵝
9D5F	鵟
9D60	鵠
9D61	鵡
9D6A	鵪
9D6C	鵬
9D6F	鵯
9D70	鵰
9D72	鵲
9D87	鶇
9D89	鶉
9D98	鶘
9D9A	鶚
9DA7	鶧
9DA9	鶩
9DAF	鶯
9DB4	鶴
9DBC	鶼
9DC2	鷂
9DC4	鷄
9DC7	鷇
9DD3	鷓
9DD7	鷗
9DE5	鷥
9DF0	鷰
9DF2	鷲
9DF4	鷴
9DF8	鷸
9DF9	鷹
9DFA	鷺
9E1A	鸚
9E1D	鸝
9E1E	鸞
9E75	鹵
9E79	鹹
9E7C	鹼
9E7D	鹽
9E7F	鹿
9E82	麂
9E8B	麋
9E92	麒
9E93	麓
9E97	麗
9E9D	麝
9E9F	麟
9EA1	麡
9EA4	麤
9EA5	麥
9EA9	麩
9EAA	麪
9EAF	麯
9EB4	麴
9EB5	麵
9EBB	麻
9EBC	麼
9EBE	麾
9EC3	黃
9ECD	黍
9ECE	黎
9ECF	黏
9ED0	黐
9ED1	黑
9ED4	黔
9ED8	默
9EDB	黛
9EDC	黜
9EDD	黝
9EDE	點
9EDF	黟
9EE0	黠
9EE5	黥
9EE8	黨
9EEF	黯
9EF4	黴
9EF9	黹
9F07	鼇
9F0E	鼎
9F13	鼓
9F20	鼠
9F2C	鼬
9F2F	鼯
9F34	鼴
9F3B	鼻
9F3E	鼾
9F41	齁
9F4A	齊
9F4B	齋
9F52	齒
9F5C	齜
9F5F	齟
9F61	齡
9F63	齣
9F66	齦
9F67	齧
9F6A	齪
9F6C	齬
9F72	齲
9F77	齷
9F8D	龍
9F90	龐
9F94	龔
9F95	龕
9F98	龘
9F9C	龜
20779	𠝹
20C41	𠱁
20C78	𠱸
20C96	𠲖
20CCF	𠳏
20DA7	𠶧
20E76	𠹶
20E9D	𠺝
20EA2	𠺢
20EF9	𠻹
20F2D	𠼭
20F4C	𠽌
20FEA	𠿪
2105C	𡁜
2107B	𡁻
210C1	𡃁
21145	𡅅
2197C	𡥼
220C7	𢃇
22B43	𢭃
22BCA	𢯊
22C51	𢱑
22C55	𢱕
22C62	𢱢
22CC2	𢳂
22D4C	𢵌
22D67	𢵧
23CB7	𣲷
244D3	𤓓
24DB8	𤶸
24DEA	𤷪
24EA7	𤺧
2512B	𥄫
25148	𥅈
25E49	𥹉
26258	𦉘
267CC	𦟌
269F2	𦧲
269FA	𦧺
2815D	𨅝
28207	𨈇
282E2	𨋢
28CCA	𨳊
28CCD	𨳍
28CD2	𨳒
28D99	𨶙
294E5	𩓥
29D98	𩶘
