516B	八
67B9	枹
9000	退
6BBF	殿
7DBA	綺
664F	晏
798F	福
517C	兼
80CE	胎
819C	膜
81E7	臧
59CA	姊
7658	癘
7670	癰
7D5E	絞
64E2	擢
7B4B	筋
9913	餓
9784	鞄
7BB1	箱
9F59	齙
81BA	膺
8C6D	豭
5599	喙
7172	煲
71AC	熬
7CA5	粥
8912	褒
88FE	裾
8A31	許
66F7	曷
8CDE	賞
6789	枉
61F2	懲
890A	褊
8891	袑
63BE	掾
84B8	蒸
51B7	冷
91D0	釐
4F34	伴
964D	降
6295	投
59DC	姜
5065	健
8350	荐
4ED7	仗
6043	恃
4EAB	享
59A5	妥
64C7	擇
53E1	叡
4F19	伙
7687	皇
80B2	育
777F	睿
5E0C	希
5821	堡
9663	陣
7889	碉
5AAC	媬
59C6	姆
8446	葆
7AFF	竿
62DB	招
79B1	禱
8AC2	諂
8ADB	諛
8A50	詐
5DE7	巧
4F5E	佞
8913	褓
8941	襁
5145	充
8C6A	豪
6B77	歷
971C	霜
614B	態
9D07	鴇
7DB1	綱
79BD	禽
8DBE	趾
7565	略
7FD4	翔
5993	妓
9A42	驂
611B	愛
74BD	璽
572D	圭
7B26	符
5854	塔
524E	剎
522E	刮
788E	碎
5C51	屑
924B	鉋
8DA3	趣
5919	夙
5DB7	嶷
645F	摟
85AA	薪
6551	救
5006	倆
5976	奶
5A03	娃
5462	呢
5B75	孵
86CB	蛋
7AA9	窩
67DD	柝
74B0	環
6F7C	潼
4E1F	丟
891A	褚
5893	墓
6B65	步
83E2	菢
9DB4	鶴
7FCE	翎
5544	啄
555F	啟
593E	夾
9935	餵
5203	刃
92FC	鋼
5237	刷
9B91	鮑
9183	醃
9E79	鹹
9B90	鮐
9B86	鮆
65A4	斤
9BEB	鯫
921E	鈞
9BAE	鮮
9C12	鰒
6C7A	決
8E8D	躍
54FA	哺
8910	褐
51F6	凶
6355	捕
520A	刊
74CA	瓊
7464	瑤
5983	妃
59BB	妻
5211	刑
540F	吏
5974	奴
8F9F	辟
7AAE	窮
5BE9	審
65B7	斷
7344	獄
4E14	且
6B3A	欺
5F4A	彊
8B41	譁
6B84	殄
99AE	馮
6094	悔
9177	酷
8E81	躁
5A01	威
5BDF	察
72C2	狂
501E	倞
56B4	嚴
9A5F	驟
9CF6	鳶
5124	儤
7011	瀑
6FC0	激
5F04	弄
62CA	拊
62C2	拂
8FC5	迅
70B8	炸
6628	昨
71C8	燈
6CB9	油
983B	頻
93DF	鏟
7FFB	翻
652A	攪
9700	需
809A	肚
91AC	醬
72A6	犦
728E	犎
810A	脊
99DD	駝
8663	虣
98E7	飧
6273	扳
9EDB	黛
5A46	婆
537B	卻
8DDF	跟
9192	醒
633D	挽
5404	各
89B2	覲
5CB3	岳
4E88	予
63F4	援
6B96	殖
6606	昆
8932	褲
9812	頒
5947	奇
59EC	姬
7D2C	紬
5937	夷
4F0A	伊
5C90	岐
7FD2	習
5718	團
5100	儀
859B	薛
7D9C	綜
5DEE	差
6309	按
9031	週
6B50	歐
6821	校
5F6A	彪
73C2	珂
756A	番
552F	唯
6DDA	淚
67D3	染
6885	梅
9B22	鬢
9038	逸
5948	奈
52F8	勸
66C9	曉
769E	皞
8FD4	返
53CB	友
642C	搬
7B28	笨
6F14	演
626E	扮
5354	協
72C4	狄
6B83	殃
4E56	乖
919C	醜
6590	斐
9EE5	黥
5293	劓
8521	蔡
7B33	笳
947D	鑽
57A2	垢
878C	螌
8765	蝥
6592	斒
52DB	勛
7292	犒
5742	坂
5761	坡
962A	阪
5CED	峭
8A70	詰
8F2A	輪
6467	摧
6234	戴
5D26	崦
6263	扣
6249	扉
4E38	丸
7A39	稹
8105	脅
5442	呂
5915	夕
4E18	丘
677F	板
588A	墊
526F	副
6749	杉
6756	杖
7B1E	笞
5440	呀
62D6	拖
95C6	闆
7BC7	篇
5171	共
6212	戒
5352	卒
7649	癉
65E6	旦
7DB2	網
8B93	讓
7248	版
5446	呆
6EEF	滯
6F51	潑
7E43	繃
7DCA	緊
8A13	訓
6604	昄
7258	牘
8CB3	貳
90A6	邦
62FC	拼
9444	鑄
925B	鉛
92C5	鋅
9801	頁
9F0E	鼎
7C84	粄
9905	餅
8B20	謠
8AFA	諺
751C	甜
714E	煎
8228	舨
8222	舢
9211	鈑
927C	鉼
7463	瑣
9320	錠
507D	偽
8742	蝂
875C	蝜
723F	爿
68E7	棧
5269	剩
780D	砍
6953	楓
5BFA	寺
5256	剖
6376	捶
7AED	竭
4FB6	侶
5925	夥
4FF1	俱
8A17	託
966A	陪
96A8	隨
5BB5	宵
6101	愁
5712	園
62CC	拌
8ABF	調
52FB	勻
74F6	瓶
6C57	汗
5435	吵
54B1	咱
7D46	絆
52D2	勒
7E69	繩
5FAA	循
9707	震
61FC	懼
6562	敢
7E8F	纏
7D2F	累
7F88	羈
6689	暉
599D	妝
76E7	盧
91AB	醫
5ABD	媽
6A21	模
9B6C	魬
9C08	鰈
81E5	臥
5EE0	廠
7A76	究
67E5	查
8CFC	購
4FFA	俺
8B1D	謝
74E3	瓣
5085	傅
808C	肌
74E4	瓤
4E5E	乞
849C	蒜
83CA	菊
860B	蘋
6454	摔
99B3	馳
99FF	駿
8D95	趕
55AA	喪
846C	葬
51B2	冲
8F9B	辛
4E11	丑
6C60	池
85E9	藩
961C	阜
6200	戀
754F	畏
596E	奮
6C8C	沌
614E	慎
931B	錛
65A7	斧
6BB7	殷
8CC1	賁
5BCC	富
6D66	浦
755D	畝
5920	夠
8CE0	賠
62D3	拓
6284	抄
5EC2	廂
651D	攝
81A0	膠
6191	憑
8877	衷
77DC	矜
5EAD	庭
8A0A	訊
82EF	苯
78B3	碳
71C3	燃
6B8A	殊
7164	煤
993E	餾
6EB6	溶
5291	劑
4E59	乙
70EF	烯
915A	酚
6597	斗
64AE	撮
574C	坌
970F	霏
9744	靄
6ED3	滓
9DD9	鷙
57CB	埋
6F6D	潭
95B9	閹
5E5E	幞
6F09	漉
7DB8	綸
5DFE	巾
611A	愚
8822	蠢
7CD9	糙
60A8	您
7D17	紗
9326	錦
87E0	蟠
5429	吩
5490	咐
69AE	榮
9029	逩
900B	逋
60B6	悶
5047	假
865B	虛
5674	噴
9F90	龐
6C89	沉
5178	典
9130	鄰
6886	梆
5DE1	巡
508D	傍
5348	午
5E6B	幫
8F14	輔
667A	智
652F	支
8154	腔
58A8	墨
4E10	丐
7D91	綑
7E1B	縛
699C	榜
6070	恰
9304	錄
8A66	試
77BD	瞽
7B6E	筮
7253	牓
724C	牌
6396	掖
6674	晴
66DB	曛
99D5	駕
907C	遼
8098	肘
59A3	妣
58A9	墩
6E2F	港
73A4	玤
74A7	璧
4F69	佩
8662	虢
6FA0	澠
868C	蚌
870A	蜊
5308	匈
595A	奚
5EEC	廬
5BC7	寇
6F01	漁
6C72	汲
5FAC	徬
65C5	旅
5F79	役
727D	牽
84A1	蒡
6854	桔
51A0	冠
84B4	蒴
8375	荵
8445	葅
7039	瀹
79E4	秤
6EA5	溥
8B4F	譏
8AB9	誹
8A5B	詛
90E4	郤
80D9	胙
938A	鎊
68D3	棓
68CD	棍
68D2	棒
5FCC	忌
7FBF	羿
6643	晃
8000	耀
586B	填
64C1	擁
50C9	僉
63DB	換
5609	嘉
9952	饒
6D3E	派
561B	嘛
93AE	鎮
5996	妖
9B54	魔
5E7B	幻
8853	術
5D29	崩
9817	頗
9072	遲
794A	祊
7E79	繹
584C	塌
6CB8	沸
9A30	騰
5D12	崒
68AF	梯
9264	鉤
6715	朕
6840	桀
6B5F	歟
85A8	薨
5B5D	孝
5C09	尉
5F38	弸
6490	撐
9B06	鬆
7E2B	縫
7DB4	綴
52C9	勉
55AB	喫
5B30	嬰
7AE5	童
7D63	絣
6C10	氐
7DDA	線
7E37	縷
8881	袁
5B8F	宏
8212	舒
9298	銘
52E4	勤
716C	煬
708E	炎
8956	襖
5ECA	廊
752D	甭
742B	琫
9798	鞘
73CC	珌
83F6	菶
50F5	僵
6CF5	泵
68B0	械
8352	荒
4E4D	乍
6876	桶
55B3	喳
9711	霑
580B	堋
934A	鍊
5566	啦
8E66	蹦
69F3	槳
8232	舲
6C85	沅
6C70	汰
6AC2	櫂
50AC	催
6E21	渡
9A05	騅
6CE3	泣
59E6	姦
91E3	釣
5C44	屄
506A	偪
622E	戮
66A2	暢
7E22	縢
90AA	邪
5E45	幅
5C68	屨
7DA6	綦
8204	舄
50B5	債
5484	咄
8892	袒
88FC	裼
901D	逝
7A84	窄
8096	肖
9F3B	鼻
55C5	嗅
91DD	針
5EBE	庾
77E9	矩
9D5D	鵝
947E	鑾
5CAC	岬
5315	匕
8200	舀
5319	匙
52FA	勺
97F6	韶
7409	琉
9DE6	鷦
9DEF	鷯
7D5C	絜
5AB2	媲
6BC5	毅
4EFF	仿
846B	葫
74E2	瓢
64EC	擬
8B6C	譬
742A	琪
96C5	雅
4F8B	例
8D66	赦
6C98	沘
6CCC	泌
6B7F	歿
5B2A	嬪
79D5	秕
82D7	苗
83A0	莠
7A3C	稼
765F	癟
4F4A	佊
75DE	痞
6DF9	淹
6C5C	汜
7E32	縲
7D32	紲
609F	悟
8D16	贖
5487	咇
557E	啾
9356	鍖
9FA2	龢
56C9	囉
881F	蠟
5F69	彩
9806	順
6607	昇
6B3E	款
8FF0	述
633A	挺
9147	酇
90CA	郊
8B00	謀
59BE	妾
8EC0	軀
8C78	豸
6ADB	櫛
9EE8	黨
670B	朋
5978	奸
71ED	燭
660F	昏
5C62	屢
574E	坎
906E	遮
85E4	藤
6F2B	漫
4F51	佑
514B	克
4FCA	俊
5421	吡
8298	芘
99DF	駟
85FE	藾
8A85	誅
72F4	狴
72B4	犴
965B	陛
968E	階
5347	升
5EC9	廉
6050	恐
6890	梐
6791	枑
68B1	梱
870C	蜌
84D6	蓖
7BE6	篦
68B3	梳
807E	聾
939E	鎞
7B4D	筍
82BD	芽
7642	療
80AF	肯
602D	怭
50B2	傲
90B2	邲
5740	址
6ECE	滎
5783	垃
573E	圾
67F2	柲
6B11	欑
621F	戟
7A4D	積
82FE	苾
82B7	芷
6BD6	毖
8B39	謹
6D1B	洛
6DC7	淇
6EAB	溫
7955	祕
79D8	秘
959F	閟
95D0	闐
6EAA	溪
6D1E	洞
798E	禎
50E7	僧
8085	肅
5BEE	寮
7A46	穆
79AA	禪
924D	鉍
8106	脆
98F6	飶
82AC	芬
999D	馝
99DC	駜
9C52	鱒
5F3C	弼
4ED4	仔
80B8	肸
7540	畀
8B56	譖
8C7A	豺
59DD	姝
75F9	痹
75FA	痺
7B85	箅
9699	隙
8963	襣
8960	襠
8E26	踦
72A2	犢
890C	褌
548E	咎
8C8A	貊
7F54	罔
50D1	僑
69AD	榭
6F6E	潮
96B8	隸
69C1	槁
4E2B	丫
5C60	屠
7C11	簑
5E5F	幟
99F0	駰
6DF3	淳
920D	鈍
5C1A	尚
7616	瘖
65EC	旬
618E	憎
84BC	蒼
8805	蠅
7791	瞑
8B66	警
6518	攘
7765	睥
7768	睨
88E8	裨
95D5	闕
6CF0	泰
76E3	監
7DBC	綼
7E13	縓
7DC6	緆
9AC0	髀
7515	甕
7F36	缶
7B8F	箏
9AD6	髖
655D	敝
5E1A	帚
5C63	屣
7E15	縕
72D0	狐
8C89	貉
6065	恥
7FB8	羸
5026	倦
8FB1	辱
70A4	炤
5F0A	弊
99D1	駑
8CC2	賂
9A19	騙
5077	偷
7ACA	竊
6982	概
8832	蠲
5B58	存
92D2	鋒
6248	扈
5EAB	庫
5EC4	廄
8CD3	賓
65CC	旌
6575	敵
589C	墜
5835	堵
963B	阻
9123	鄣
8B92	讒
7919	礙
8B4A	譊
4EC6	仆
924F	鉏
9A6A	驪
50BE	傾
9DE9	鷩
8543	蕃
9951	饑
8F38	輸
7CF4	糴
6349	捉
5154	兔
7F51	网
7375	獵
5F29	弩
5F0B	弋
672D	札
624E	扎
547B	呻
4F54	佔
9846	顆
6EC2	滂
6CB1	沱
6634	昴
9D1B	鴛
9D26	鴦
7FE9	翩
55F6	嗶
5630	嘰
5F43	彃
84FD	蓽
7BF3	篳
8475	葵
7E2A	縪
5E3D	帽
97E0	韠
8E55	蹕
533F	匿
99D0	駐
9946	饆
9960	饠
97CD	韍
860A	蘊
6E62	湢
6D74	浴
610A	愊
61A4	憤
6083	悃
8AEB	諫
61C7	懇
9B31	鬱
6291	抑
63CA	揊
5D14	崔
6E5C	湜
71CE	燎
970D	霍
6FE9	濩
71D0	燐
8F5F	轟
55C3	嗃
714F	煏
6F1A	漚
7760	睠
9761	靡
6945	楅
8177	腷
81C6	臆
8A56	詖
5F4C	彌
5A9A	媚
7FDF	翟
5028	倨
6308	挈
9AF2	髲
6E5B	湛
59D4	委
5D16	崖
7779	睹
9AE1	髡
9AB3	骳
9AAB	骫
610E	愎
72E0	狠
7695	皕
6A13	樓
8E48	蹈
902E	逮
9A45	驅
6C1B	氛
5112	儒
5EE6	廦
57A3	垣
9661	陡
5CF0	峰
6302	挂
58D8	壘
9245	鉅
9E7F	鹿
59E8	姨
8EEB	軫
9134	鄴
4EDE	仞
5B16	嬖
9D3B	鴻
654F	敏
5A49	婉
4F88	侈
8354	荔
86C7	蛇
8AF1	諱
96F7	雷
5B55	孕
9F02	鼂
50CA	僊
9BE8	鯨
87B3	螳
733F	猿
532A	匪
7455	瑕
968B	隋
993D	餽
65CB	旋
8F12	輒
9452	鑒
895E	襞
647A	摺
76BA	皺
5B0C	嬌
887E	衾
7E74	繴
7F7F	罿
7F6C	罬
7F66	罦
8F45	轅
7F65	罥
8E84	躄
7638	瘸
4F8F	侏
50B4	傴
62AB	披
78A7	碧
8407	萇
5F18	弘
6F3E	漾
5A25	娥
8D14	贔
5C6D	屭
618B	憋
9C49	鱉
690E	椎
722C	爬
8E7C	蹼
9EFF	黿
6735	朵
5361	卡
8DDD	距
51B6	冶
6770	杰
53E6	另
4ED9	仙
715C	煜
6ECB	滋
5C94	岔
5979	她
63E3	揣
731C	猜
8382	莂
5238	券
8801	蠁
8586	薆
86C2	蛂
87E5	蟥
86E2	蛢
8C46	豆
8952	襒
64E6	擦
62ED	拭
8E69	蹩
8EA0	躠
51F9	凹
7E2E	縮
6F0F	漏
6577	敷
7A98	窘
9909	餉
5F46	彆
5F4E	彎
5F2D	弭
62D7	拗
6C6A	汪
5B5A	孚
9015	逕
7F9E	羞
6293	抓
8139	脹
6753	杓
6793	枓
5BC5	寅
9B41	魁
6DE9	淩
9ADF	髟
5782	垂
5F01	弁
98AF	颯
5092	傒
8ECC	軌
52F5	勵
723D	爽
5091	傑
98A9	颩
4F3D	伽
886B	衫
800D	耍
68A2	梢
715E	煞
6EEE	滮
6D78	浸
7FF6	翶
6F2D	漭
9642	陂
6F32	漲
6F5B	潛
730B	猋
6016	怖
98C6	飆
85DC	藜
8DA1	趡
99ED	駭
85F9	藹
828A	芊
4FDF	俟
9695	隕
96CD	雍
7968	票
647D	摽
81BD	膽
719B	熛
7130	焰
9727	霧
905D	遝
7DBF	綿
6968	楨
558F	喏
4F30	估
962E	阮
65E8	旨
9059	遙
8C41	豁
851A	蔚
7B56	策
5EDA	廚
70B0	炰
840D	萍
85FB	藻
8198	膘
6CEF	泯
6522	攢
8E44	蹄
762D	瘭
75BD	疽
93E2	鏢
8FCE	迎
98AE	颮
9E83	麃
9A5B	驛
8018	耘
5126	儦
700C	瀌
81D5	臕
80AA	肪
7626	瘦
7A6E	穮
8509	蔉
9949	饉
9463	鑣
9A16	騖
9A64	驤
5DA0	嶠
5BB4	宴
9F63	齣
7202	爂
7BC4	範
5BD6	寖
7027	瀧
5CA1	岡
9621	阡
4EA5	亥
9336	錶
6AA2	檢
5A4A	婊
8CA2	貢
8897	袗
7D7A	絺
7D8C	綌
95AD	閭
511F	償
9120	鄠
6350	捐
4FF5	俵
9214	鈔
7CCA	糊
8299	芙
84C9	蓉
651C	攜
893E	褾
88D3	裓
8A63	詣
6089	悉
9E1E	鸞
7C64	籤
80F3	胳
52FE	勾
6346	捆
684C	桌
9C3E	鰾
9ECF	黏
5B83	它
782D	砭
7729	眩
5FB9	徹
4EAD	亭
6144	慄
51BD	冽
7335	猵
6944	楄
8759	蝙
8760	蝠
53C9	叉
7CFE	糾
7E95	纕
9957	饗
8490	蒐
5F59	彙
7E82	纂
634F	捏
8A22	訢
9BFF	鯿
9B74	魴
7BAF	箯
8F4E	轎
7B65	筥
7BDD	篝
6BC6	毆
68F1	棱
97FF	響
620D	戍
5E8A	床
889E	袞
9472	鑲
6478	摸
9069	適
6A0A	樊
7C69	籩
7C20	簠
7C0B	簋
9D28	鴨
533E	匾
9D72	鵲
62BC	押
63CD	揍
7BE9	篩
60FC	惼
8439	萹
78A5	碥
95BB	閻
71D5	燕
7A28	稨
9698	隘
557C	啼
9127	鄧
827E	艾
58B3	墳
8D6D	赭
58D9	壙
7A61	穡
59EA	姪
742F	琯
752F	甯
535E	卞
6CD7	泗
513B	儻
6C74	汴
5FED	忭
6B23	欣
6664	晤
666E	普
6109	愉
6085	悅
7633	瘳
7FF9	翹
6283	抃
5015	倕
9F19	鼙
56B3	嚳
60BC	悼
625B	扛
82C4	苄
58EC	壬
9914	餔
6817	栗
64AB	撫
9F94	龔
8011	耑
959E	閞
9D18	鴘
9DF9	鷹
96BC	隼
92B3	銳
91C6	釆
8A1B	訛
72D9	狙
613F	愿
8C37	谷
7709	眉
8667	虧
8017	耗
8182	膂
7B4F	筏
6CC4	泄
52F3	勳
4F3A	伺
9A55	驕
7CDE	糞
61FF	懿
6558	敘
8205	舅
9716	霖
9234	鈴
87EC	蟬
7DF6	緶
67B2	枲
904D	遍
4FDE	俞
9DAF	鶯
56C0	囀
8331	茱
8438	萸
8251	艑
7230	爰
822B	舫
5021	倡
8FA1	辡
8A1F	訟
5224	判
96CC	雌
6D87	涇
9102	鄂
6850	桐
6EC7	滇
6F06	漆
8972	襲
9EFB	黻
97B6	鞶
4F0E	伎
73E9	珩
9B1A	鬚
72E1	狡
6FC2	濂
6021	怡
82DF	苟
8129	脩
6EBA	溺
64FE	擾
829D	芝
8A95	誕
5103	儃
4F6A	佪
5A1B	娛
6C43	汃
4EFD	份
5F6C	彬
90A0	邠
8C73	豳
73A2	玢
739F	玟
973D	霽
658C	斌
7A1F	稟
55A7	喧
6D95	涕
620E	戎
5110	儐
6FF1	濱
65A5	斥
6DAF	涯
7554	畔
6D0B	洋
9112	鄒
6D19	洙
6AB3	檳
6994	榔
8819	蠙
7E7D	繽
944C	鑌
7015	瀕
821C	舜
8015	耕
9050	遐
97ED	韭
98EB	飫
6D39	洹
6BAE	殮
6979	楹
8F00	輀
8A03	訃
7FCC	翌
963C	阼
5E19	帙
8A48	詈
637D	捽
5216	刖
832B	茫
9AD5	髕
681F	栟
6ADA	櫚
6F97	澗
5DD2	巒
58FA	壺
76C6	盆
5AE9	嫩
79E3	秣
6BB3	殳
914B	酋
66F3	曳
5401	吁
6A84	檄
63A4	掤
7B52	筒
9B2F	鬯
6ADD	櫝
4E19	丙
6032	怲
90B4	邴
70B3	炳
7165	煥
85B0	薰
946A	鑪
78A9	碩
83CC	菌
633E	挾
7AC7	竇
7F79	罹
8B01	謁
5DBD	嶽
7A57	穗
7E1D	縝
7A0C	稌
659B	斛
5189	冉
514C	兌
665D	晝
6055	恕
5B34	嬴
8398	莘
8FD3	迓
901E	逞
73B7	玷
8B8E	讎
71B9	熹
8F3B	輻
8F33	輳
8AEE	諮
4F75	併
615A	慚
54FD	哽
9DF8	鷸
7B51	筑
7AFD	竽
8A8D	認
6452	摒
9075	遵
62DA	拚
8CFA	賺
6BBD	殽
4EC4	仄
725F	牟
504B	偋
5109	儉
70AD	炭
9954	饔
98ED	飭
5F99	徙
809D	肝
8093	肓
75B5	疵
6194	憔
542E	吮
5BE2	寢
6F58	潘
605A	恚
52AD	劭
6FEC	濬
5E06	帆
8036	耶
6020	怠
5BCE	寎
9163	酣
75C7	症
5BD0	寐
6A80	檀
50D5	僕
6B20	欠
79DF	租
9706	霆
65F4	旴
7A05	稅
6661	晡
9910	餐
81BE	膾
555C	啜
6F13	漓
8F50	轐
8EF8	軸
91AD	醭
918B	醋
9EF4	黴
68D0	棐
51E0	几
61F6	懶
95A8	閨
8A79	詹
6F66	潦
9F67	齧
9CEA	鳪
57D4	埔
64D2	擒
7DDD	緝
62D2	拒
62D8	拘
4FE0	俠
7F5D	罝
7F58	罘
7F86	羆
6C68	汨
566C	噬
9BC9	鯉
55F7	嗷
7433	琳
7A9F	窟
5480	咀
56BC	嚼
6C90	沐
5410	吐
7149	煉
905E	遞
6CC1	況
5E96	庖
68C9	棉
7DA2	綢
6C13	氓
86A9	蚩
8CBF	貿
8A73	詳
4F48	佈
8A6C	詬
8AB6	誶
8AD1	諑
619A	憚
5914	夔
86DF	蛟
87AD	螭
923D	鈽
50C5	僅
6838	核
8E64	蹤
6677	晷
8E5E	蹞
898F	規
9081	邁
790E	礎
8271	艱
78BC	碼
57E0	埠
6609	昉
7887	碇
9A2D	騭
5B7A	孺
6B60	歠
7B0F	笏
5B93	宓
8F2F	輯
5EC1	廁
522A	刪
95A3	閣
9FA0	龠
6062	恢
8F1C	輜
8F1B	輛
6469	摩
6258	托
8500	蔀
66C6	曆
8ABE	誾
7BF0	篰
8CA9	販
9BAD	鮭
8221	舡
8DB4	趴
61A9	憩
8C54	豔
5349	卉
8559	蕙
8605	蘅
95AC	閬
82D1	苑
67F4	柴
6493	撓
6414	搔
7662	癢
8C93	貓
9774	靴
5DBA	嶺
7168	煨
6787	枇
650F	攏
8943	襃
50EE	僮
7009	瀉
942E	鐮
8CAA	貪
7C27	簧
852C	蔬
7B62	筢
6FE4	濤
6E4D	湍
6FC8	濈
8F23	輣
8ECB	軋
7360	獠
6F8E	澎
5E0A	帊
8A67	詧
7426	琦
5E15	帕
7CB2	粲
6190	憐
89B7	覷
7C5B	籛
8899	袙
7469	瑩
7D73	絳
7A0D	稍
9640	陀
7679	癹
7822	砢
6F86	澆
5C24	尤
8B1B	講
8FA3	辣
7334	猴
8A25	訥
7785	瞅
75F4	痴
9131	鄱
76A4	皤
5EB5	庵
7516	甖
7745	睅
642B	搫
62C4	拄
7FF3	翳
53F5	叵
5C00	尀
7B38	笸
7C43	籃
7C6E	籮
9255	鉕
91F9	釹
63A2	探
8B5C	譜
9672	陲
609A	悚
60F6	惶
99CA	駊
9A00	騀
6734	朴
92F8	鋸
6954	楔
91D9	釙
73C0	珀
7425	琥
7FB2	羲
5D6B	嵫
609D	悝
57F6	埶
676D	杭
63A7	控
80C9	胉
808B	肋
9B04	鬄
7C95	粕
4EDD	仝
6E23	渣
7B24	笤
64B0	撰
7B60	筠
8993	覓
5999	妙
5632	嘲
9713	霓
6726	朦
6727	朧
6EF4	滴
54F1	哱
84AA	蒪
82F4	苴
8591	薑
8618	蘘
5611	嘑
558A	喊
91B1	醱
91C0	釀
8944	襄
8461	葡
9185	醅
9175	酵
55DF	嗟
4FF3	俳
89F3	觳
8B14	謔
4FBB	侻
8AE7	諧
72CE	狎
64E0	擠
6DD8	淘
6905	椅
994C	饌
7DF4	練
6A94	檔
6AFB	櫻
74E6	瓦
60CB	惋
5EF3	廳
9F95	龕
7C50	籐
7498	璘
678B	枋
7C30	簰
4FC4	俄
8FE5	迥
6AB8	檸
6AAC	檬
6E43	湃
576F	坯
965F	陟
78DA	磚
574F	坏
5478	呸
80DA	胚
5ED3	廓
8843	衃
7600	瘀
70B1	炱
6FFE	濾
6A3D	樽
8798	螘
9598	閘
96A7	隧
947F	鑿
962B	阫
90B3	邳
6ED5	滕
4E15	丕
6AFA	櫺
6ABB	檻
57F9	培
683D	栽
8030	耰
63AA	措
5AC1	嫁
793E	社
7A37	稷
6BF0	毰
6BF8	毸
6B49	歉
6977	楷
5A5A	婚
696B	楫
92B7	銷
8FED	迭
5CF6	島
896F	襯
56FF	囿
85EA	藪
65C6	旆
9708	霈
562F	嘯
5114	儔
6DC4	淄
8679	虹
971E	霞
74D4	瓔
7E8D	纍
73EE	珮
73CA	珊
8337	茷
7DAA	綪
65C3	旃
6DE0	淠
7F75	罵
81A8	膨
9871	顱
9328	錨
6D25	津
68AD	梭
7529	甩
812C	脬
80F1	胱
7A96	窖
4F43	佃
7CE7	糧
5486	咆
543C	吼
530D	匍
5310	匐
70D9	烙
7F94	羔
60F2	惲
81D8	臘
7099	炙
70CB	烋
74E0	瓠
530F	匏
839E	莞
828E	芎
8839	蠹
7B50	筐
7C0F	簏
7D6E	絮
8902	褂
895F	襟
8882	袂
6CBE	沾
8DFC	跼
9583	閃
7350	獐
775B	睛
81C0	臀
8925	褥
9E8B	麋
788C	碌
7682	皂
71D9	燙
6DCB	淋
803D	耽
64F1	擱
599E	妞
75B1	疱
75B9	疹
7832	砲
76B0	皰
817A	腺
5945	奅
792E	礮
5192	冒
4F6C	佬
6294	抔
63AC	掬
8656	虖
634A	捊
6344	捄
967E	陾
58E4	壤
638A	掊
6DB8	涸
641C	搜
4E9F	亟
88D2	裒
96B0	隰
4FD8	俘
80E5	胥
95C7	闇
7814	研
62A8	抨
8E0A	踊
95DA	闚
74FF	瓿
91AF	醯
5008	倈
6127	愧
79BA	禺
6D04	洄
6E1A	渚
6F70	潰
8AA3	誣
6458	摘
9E12	鸒
67C8	柈
8CAF	貯
7126	焦
80D6	胖
6556	敖
72E9	狩
5E4B	幋
5ABB	媻
59CD	姍
76E5	盥
78D0	磐
59FB	姻
868A	蚊
87D2	蟒
8A62	詢
7E0F	縏
7BB4	箴
7E8A	纊
88A0	袠
6106	愆
887F	衿
5E28	帨
78FB	磻
6CAE	沮
5F6B	彫
8E63	蹣
8DDA	跚
6A1E	樞
7D18	紘
7DC7	緇
6CEE	泮
8FE8	迨
8392	莒
6368	捨
942B	鐫
858A	薊
7249	牉
7D06	紆
501F	借
88A2	袢
7E10	縐
5CFD	峽
7634	瘴
9816	頖
8776	蝶
9014	途
5669	噩
5029	倩
585A	塚
9D51	鵑
7FA8	羨
897B	襻
7D10	紐
6FC6	濆
9A65	驥
6B55	歕
6FA1	澡
8E1E	踞
7E45	繅
6E53	湓
4E53	乓
4E52	乒
6C78	汸
8E06	踆
6DEF	淯
513C	儼
5C28	尨
9058	遘
5396	厖
5EAC	庬
5F77	彷
5FA8	徨
5F89	徉
6B67	歧
7E5A	繚
8FEA	迪
6BEC	毬
4FC5	俅
4F01	企
8783	螃
87F9	蟹
7BE3	篣
9004	逄
9ED4	黔
9A62	驢
6E4A	湊
6D93	涓
91A2	醢
71C0	燀
991A	餚
828B	芋
83F0	菰
6CD9	泙
6026	怦
8AD2	諒
9B51	魑
9B45	魅
72D6	狖
9F2F	鼯
52BE	劾
7830	砰
8EEF	軯
959B	閛
99CD	駍
6072	恲
6177	慷
6168	慨
7E08	縈
5FFC	忼
6DDC	淜
787C	硼
6F30	漰
78DE	磞
6FDE	濞
8283	芃
9EA5	麥
6E30	渰
5BB8	宸
82B8	芸
5017	倗
7B48	筈
6E89	溉
7960	祠
6E54	湔
6E20	渠
84C4	蓄
68DA	棚
8DE8	跨
642D	搭
7ABA	窺
6676	晶
8D6B	赫
9591	閑
9B05	鬅
9D6C	鵬
9BE4	鯤
6687	暇
9AFC	髼
58AE	墮
62FD	拽
8CBD	貽
78EF	磯
87DB	蟛
871E	蜞
6C94	沔
8AA8	誨
6A9F	檟
636B	捫
5653	噓
692A	椪
8E2B	踫
9A3E	騾
7E3E	績
7587	疇
4E99	亙
4F3E	伾
72C9	狉
72F8	狸
79E0	秠
79EC	秬
7A48	穈
8291	芑
99D3	駓
9A02	騂
9A0F	騏
637B	捻
4EC7	仇
4EA2	亢
64E3	擣
95B1	閱
51C6	准
7812	砒
7837	砷
7D15	紕
7DEF	緯
7E46	繆
921A	鈚
6C05	氅
701D	瀝
